Ilosc unieszkodliwiona [kg],Ilosc zinwentaryzowana [kg],Nazwa Gminy,Pozostala do unieszkodliwienia [kg],TERYT
0.00,56155.00,,56155.00,022109
88715.00,1427127.73,Brzeg Dolny,1338412.73,022201
0.00,892039.50,Wińsko,892039.50,022202
0.00,9826.70,Wołów,9826.70,022203
137939.00,449204.11,Czernica,311265.11,022301
496280.00,1161417.43,Długołęka,665137.43,022302
41382.00,474221.00,Jordanów Śląski,432839.00,022303
42167.99,789830.44,Kąty Wrocławskie,747662.45,022304
168890.00,577019.00,Mietków,408129.00,022306
185145.00,1288965.85,Sobótka,1103820.85,022307
201000.00,2183176.52,Siechnice,1982176.52,022308
0.00,688870.82,Żórawina,688870.82,022309
0.00,290504.00,Bardo,290504.00,022401
156163.48,469104.48,Ciepłowody,312941.00,022402
0.00,550820.00,Kamieniec Ząbkowicki,550820.00,022403
0.00,488233.18,Stoszowice,488233.18,022404
4070.00,672251.25,Ząbkowice Śląskie,668181.25,022405
0.00,1386192.00,Ziębice,1386192.00,022406
0.00,6600.00,Złoty Stok,6600.00,022407
5508.00,38299.00,Zawidów,32791.00,022501
0.00,66000.00,Zgorzelec,66000.00,022502
4109343.00,15563058.82,Bogatynia,11453715.82,022503
0.00,322501.74,Pieńsk,322501.74,022504
0.00,137093.00,Sulików,137093.00,022505
0.00,59079.75,Węgliniec,59079.75,022506
206009.00,398552.00,Zgorzelec,192543.00,022507
1397.00,151591.00,Wojcieszów,150194.00,022601
0.00,223784.95,Złotoryja,223784.95,022602
227126.00,683506.00,Świerzawa,456380.00,022604
0.00,748638.00,Zagrodno,748638.00,022605
145811.00,1636433.27,Jelenia Góra,1490622.27,026101
289886.30,3862528.30,Legnica,3572642.00,026201
965568.60,3460971.98,Wrocław,2495403.38,026401
98185.20,2338606.40,Wałbrzych,2240421.20,026501
54.00,102256.10,Aleksandrów Kujawski,102202.10,040101
0.00,83704.77,Ciechocinek,83704.77,040102
11.00,277761.00,Nieszawa,277750.00,040103
0.00,3147048.25,Aleksandrów Kujawski,3147048.25,040104
85520.00,3668180.00,Bądkowo,3582660.00,040105
1705.00,1126818.00,Raciążek,1125113.00,040107
43791.00,2072554.00,Waganiec,2028763.00,040108
1.10,3672015.10,Zakrzewo,3672014.00,040109
147081.00,1053366.40,Brodnica,906285.40,040201
186707.63,4166490.27,Bobrowo,3979782.64,040202
181435.93,3717437.25,Brodnica,3536001.32,040203
0.00,2055168.00,Brzozie,2055168.00,040204
0.00,290853.20,Górzno,290853.20,040205
97206.00,2590641.13,Bartniczka,2493435.13,040206
61.82,3336681.15,Jabłonowo Pomorskie,3336619.33,040207
54769.00,3197997.00,Osiek,3143228.00,040208
251037.00,4437267.00,Świedziebnia,4186230.00,040209
230758.00,752559.00,Zbiczno,521801.00,040210
77881.12,717054.92,Białe Błota,639173.80,040301
178265.00,1737937.00,Dąbrowa Chełmińska,1559672.00,040302
330695.00,3629898.00,Dobrcz,3299203.00,040303
355125.80,8403327.70,Koronowo,8048201.90,040304
141271.87,1650972.82,Nowa Wieś Wielka,1509700.95,040305
335046.04,1104751.00,Osielsko,769704.96,040306
115823.00,2760926.67,Sicienko,2645103.67,040307
61600.80,1084010.00,Solec Kujawski,1022409.20,040308
78212.60,606472.23,Chełmno,528259.63,040401
62496.50,2317189.82,Chełmno,2254693.32,040402
6490.00,2274009.00,Kijewo Królewskie,2267519.00,040403
60764.00,3159505.44,Lisewo,3098741.44,040404
37928.00,1942729.50,Papowo Biskupie,1904801.50,040405
102292.99,1776000.82,Stolno,1673707.83,040406
189271.00,1236025.80,Unisław,1046754.80,040407
54203.22,955189.50,Golub-Dobrzyń,900986.28,040501
78155.00,2199314.00,Ciechocin,2121159.00,040502
94402.00,3647051.10,Golub-Dobrzyń,3552649.10,040503
447359.00,3772314.50,Kowalewo Pomorskie,3324955.50,040504
181676.72,2200887.77,Radomin,2019211.05,040505
131307.00,2002245.00,Zbójno,1870938.00,040506
0.00,2473198.20,Grudziądz,2473198.20,040601
150051.00,2498892.00,Gruta,2348841.00,040602
517895.00,2960347.00,Łasin,2442452.00,040603
0.00,2140505.29,Radzyń Chełmiński,2140505.29,040604
53195.23,2412411.65,Rogóźno,2359216.42,040605
29766.00,1778364.76,Świecie nad Osą,1748598.76,040606
179676.02,1675388.12,Inowrocław,1495712.10,040701
127745.00,3045459.00,Dąbrowa Biskupia,2917714.00,040702
184861.85,4152101.01,Gniewkowo,3967239.16,040703
169496.10,4471864.00,Inowrocław,4302367.90,040704
167863.12,2221830.26,Janikowo,2053967.14,040705
492158.00,6140736.20,Kruszwica,5648578.20,040706
65793.00,2385517.19,Pakość,2319724.19,040707
0.00,2390707.00,Rojewo,2390707.00,040708
0.00,1297484.00,Złotniki Kujawskie,1297484.00,040709
196011.69,1195194.69,Lipno,999183.00,040801
0.00,195.00,Bobrowniki,195.00,040802
109596.00,2123722.90,Chrostkowo,2014126.90,040803
194150.00,2486900.20,Dobrzyń nad Wisłą,2292750.20,040804
271897.00,3097891.00,Kikół,2825994.00,040805
473863.00,4798127.70,Lipno,4324264.70,040806
148534.70,3588061.03,Skępe,3439526.33,040807
0.00,3487354.20,Tłuchowo,3487354.20,040808
3685.00,3220734.00,Wielgie,3217049.00,040809
267656.70,3018544.66,Dąbrowa,2750887.96,040901
350892.00,2515915.09,Jeziora Wielkie,2165023.09,040902
1461.00,8387449.48,Mogilno,8385988.48,040903
21629.00,3258920.00,Strzelno,3237291.00,040904
312107.00,5490473.50,Kcynia,5178366.50,041001
191807.53,4176613.40,Mrocza,3984805.87,041002
363677.00,5466869.44,Nakło nad Notecią,5103192.44,041003
240549.00,4547950.03,Sadki,4307401.03,041004
500516.00,7817052.00,Szubin,7316536.00,041005
30664.00,353811.00,Radziejów,323147.00,041101
1100.00,2502151.50,Bytoń,2501051.50,041102
436786.00,2995839.00,Dobre,2559053.00,041103
4567844.80,9884986.80,Osięciny,5317142.00,041104
2904.00,1942289.40,Piotrków Kujawski,1939385.40,041105
0.00,4040845.60,Radziejów,4040845.60,041106
68629.00,3199825.00,Topólka,3131196.00,041107
195779.00,1026145.00,Rypin,830366.00,041201
0.00,167645.00,Brzuze,167645.00,041202
0.00,1357346.54,Rogowo,1357346.54,041203
322916.90,5055112.90,Rypin,4732196.00,041204
0.00,3651317.89,Skrwilno,3651317.89,041205
221285.60,2575086.10,Wąpielsk,2353800.50,041206
104660.00,2526485.80,Kamień Krajeński,2421825.80,041301
153626.00,2584188.17,Sępólno Krajeńskie,2430562.17,041302
62309.00,3207435.00,Sośno,3145126.00,041303
78549.02,2828008.05,Więcbork,2749459.03,041304
0.00,9551.74,Bukowiec,9551.74,041401
1001.00,353911.25,Dragacz,352910.25,041402
109560.00,1995826.50,Drzycim,1886266.50,041403
149312.00,3946945.67,Jeżewo,3797633.67,041404
18422.00,1316990.50,Lniano,1298568.50,041405
3990.00,2316927.79,Nowe,2312937.79,041406
3146.00,2120114.20,Osie,2116968.20,041407
96344.00,4532755.47,Pruszcz,4436411.47,041408
177425.06,3136299.07,Świecie,2958874.01,041409
189190.90,2072704.30,Świekatowo,1883513.40,041410
0.00,837744.80,Warlubie,837744.80,041411
57040.00,943915.00,Chełmża,886875.00,041501
293317.60,3080448.45,Chełmża,2787130.85,041502
116247.00,4190672.00,Czernikowo,4074425.00,041503
168421.00,3053336.00,Lubicz,2884915.00,041504
0.00,3104709.00,Łubianka,3104709.00,041505
61.82,2401059.82,Łysomice,2400998.00,041506
31669.00,3840831.00,Obrowo,3809162.00,041507
4803.75,14765.57,Wielka Nieszawka,9961.82,041508
10076.00,1989757.00,Zławieś Wielka,1979681.00,041509
224462.58,2234887.82,Cekcyn,2010425.24,041601
0.00,5281869.60,Gostycyn,5281869.60,041602
