Ilosc unieszkodliwiona [kg],Ilosc zinwentaryzowana [kg],Nazwa Gminy,Pozostala do unieszkodliwienia [kg],TERYT
2376.00,163878.00,Gubin,161502.00,080201
181887.00,324244.00,Bobrowice,142357.00,080202
0.00,218028.00,Bytnica,218028.00,080203
371572.52,493679.52,Dąbie,122107.00,080204
54767.00,964157.00,Gubin,909390.00,080205
27462.60,1131048.50,Krosno Odrzańskie,1103585.90,080206
462.00,209440.00,Maszewo,208978.00,080207
13981.00,666909.00,Bledzew,652928.00,080301
130330.30,1650006.80,Międzyrzecz,1519676.50,080302
62757.95,1463720.59,Przytoczna,1400962.64,080303
187286.00,664026.00,Pszczew,476740.00,080304
0.00,556668.60,Skwierzyna,556668.60,080305
0.00,1125480.00,Trzciel,1125480.00,080306
85683.57,177089.88,Nowa Sól,91406.31,080401
110693.00,208513.00,Bytom Odrzański,97820.00,080402
0.00,1650.00,Kolsko,1650.00,080403
218489.58,1388881.18,Kożuchów,1170391.60,080404
98489.00,428456.00,Nowa Sól,329967.00,080405
175406.11,342479.61,Nowe Miasteczko,167073.50,080406
0.00,716845.00,Otyń,716845.00,080407
185957.42,485090.32,Siedlisko,299132.90,080408
0.00,1072192.00,Cybinka,1072192.00,080501
425510.00,1097981.00,Górzyca,672471.00,080502
813031.50,1550944.28,Ośno Lubuskie,737912.78,080503
173719.70,866720.60,Rzepin,693000.90,080504
44481.80,420863.80,Słubice,376382.00,080505
142108.04,1108237.41,Dobiegniew,966129.37,080601
198173.53,1291243.53,Drezdenko,1093070.00,080602
49467.55,700150.55,Stare Kurowo,650683.00,080603
84360.29,2163545.43,Strzelce Krajeńskie,2079185.14,080604
2200.00,630564.00,Zwierzyn,628364.00,080605
588700.00,2507064.94,Krzeszyce,1918364.94,080701
144673.00,361181.40,Lubniewice,216508.40,080702
1615.00,742313.00,Słońsk,740698.00,080703
6237.00,2228251.96,Sulęcin,2222014.96,080704
255951.00,1607743.70,Torzym,1351792.70,080705
56158.20,676877.20,Lubrza,620719.00,080801
431.20,531432.00,Łagów,531000.80,080802
292639.51,1015746.51,Skąpe,723107.00,080803
88.00,985748.39,Szczaniec,985660.39,080804
8547.00,1932422.00,Świebodzin,1923875.00,080805
3278.00,969803.00,Zbąszynek,966525.00,080806
243581.47,1650374.85,Babimost,1406793.38,080901
2.20,425802.52,Bojadła,425800.32,080902
193080.58,488619.55,Czerwieńsk,295538.97,080903
120022.87,676548.90,Kargowa,556526.03,080904
204543.13,544487.13,Nowogród Bobrzański,339944.00,080905
97710.00,192967.00,Sulechów,95257.00,080906
0.00,271438.00,Świdnica,271438.00,080907
0.00,539924.00,Trzebiechów,539924.00,080908
216580.18,477284.40,Zabór,260704.22,080909
311519.00,939817.00,,628298.00,080910
0.00,53703.00,Gozdnica,53703.00,081001
0.00,34502.00,Żagań,34502.00,081002
47168.00,898942.00,Brzeźnica,851774.00,081003
13981.00,767872.00,Iłowa,753891.00,081004
130025.50,466893.50,Małomice,336868.00,081005
135827.40,560198.50,Niegosławice,424371.10,081006
336042.23,1442611.43,Szprotawa,1106569.20,081007
0.00,20977.00,Wymiarki,20977.00,081008
106959.16,729029.59,Żagań,622070.43,081009
28752.00,81800.80,Łęknica,53048.80,081101
6310.50,101912.38,Żary,95601.88,081102
104194.75,294590.23,Brody,190395.48,081103
30201.71,319246.51,Jasień,289044.80,081104
61058.00,277234.11,Lipinki Łużyckie,216176.11,081105
122423.42,631077.07,Lubsko,508653.65,081106
0.00,416463.00,Przewóz,416463.00,081107
175431.00,394887.68,Trzebiel,219456.68,081108
7336.01,186444.81,Tuplice,179108.80,081109
51798.21,1235523.63,Żary,1183725.42,081110
51832.00,836959.30,Sława,785127.30,081201
17067.00,1249102.80,Szlichtyngowa,1232035.80,081202
233030.00,1258996.70,Wschowa,1025966.70,081203
1018220.09,3089778.44,Gorzów Wielkopolski,2071558.35,086101
181545.38,1306806.36,Zielona Góra,1125260.98,086201
309024.90,1628892.90,Bełchatów,1319868.00,100101
125653.00,3987201.00,Bełchatów,3861548.00,100102
87511.99,2704483.15,Drużbice,2616971.16,100103
8955.00,1574995.50,Kleszczów,1566040.50,100104
0.00,2420242.00,Kluki,2420242.00,100105
0.00,5101282.00,Rusiec,5101282.00,100106
58097.00,2142620.00,Szczerców,2084523.00,100107
0.00,3385116.05,Zelów,3385116.05,100108
6267.00,251025.70,Kutno,244758.70,100201
0.00,7861059.10,Bedlno,7861059.10,100202
123170.95,1455838.95,Krośniewice,1332668.00,100204
0.00,1153482.00,Krzyżanów,1153482.00,100205
484313.75,2687727.74,Kutno,2203413.99,100206
30771.00,1213289.00,Łanięta,1182518.00,100207
0.00,1071940.00,Nowe Ostrowy,1071940.00,100208
8558.00,1722378.83,Oporów,1713820.83,100209
10692.00,2014258.00,Strzelce,2003566.00,100210
0.00,3712371.00,Żychlin,3712371.00,100211
6510.00,1422520.70,Łask,1416010.70,100302
0.00,3667982.00,Sędziejowice,3667982.00,100303
0.00,5500091.30,Widawa,5500091.30,100304
81803.53,1923330.02,Wodzierady,1841526.49,100305
0.00,60984.00,Łęczyca,60984.00,100401
0.00,2116061.64,Daszyna,2116061.64,100402
26620.00,1053778.00,Góra Świętej Małgorzaty,1027158.00,100403
0.00,3218006.00,Grabów,3218006.00,100404
0.00,2014276.00,Łęczyca,2014276.00,100405
4290.00,3448581.07,Piątek,3444291.07,100406
0.00,3996112.18,Świnice Warckie,3996112.18,100407
4309.80,1872310.42,Witonia,1868000.62,100408
2332.00,2341654.70,Łowicz,2339322.70,100501
22.00,5240334.00,Bielawy,5240312.00,100502
0.00,4558091.00,Chąśno,4558091.00,100503
190201.00,4037968.00,Domaniewice,3847767.00,100504
12100.00,3385184.00,Kiernozia,3373084.00,100505
0.00,9890029.82,Kocierzew Południowy,9890029.82,100506
117084.00,5867069.20,Łowicz,5749985.20,100507
0.00,5393474.00,Łyszkowice,5393474.00,100508
0.00,5523169.52,Nieborów,5523169.52,100509
0.00,9150505.10,Zduny,9150505.10,100510
68871.00,323668.53,Andrespol,254797.53,100602
15120.00,3359833.60,Koluszki,3344713.60,100607
0.00,915013.00,Nowosolna,915013.00,100608
0.00,1705515.90,Rzgów,1705515.90,100610
14624.83,3267687.81,Tuszyn,3253062.98,100611
127219.00,4380229.71,Białaczów,4253010.71,100701
7898.88,7276964.00,Drzewica,7269065.12,100702
0.00,3246711.38,Mniszków,3246711.38,100703
372733.80,15575985.66,Opoczno,15203251.86,100704
0.00,392161.00,Paradyż,392161.00,100705
18315.00,3023938.50,Poświętne,3005623.50,100706
466796.00,7941624.30,Sławno,7474828.30,100707
2755.94,5021956.94,Żarnów,5019201.00,100708
22120.00,396076.00,Konstantynów Łódzki,373956.00,100801
46756.10,1072910.55,Pabianice,1026154.45,100802
223346.40,2007963.40,Dobroń,1784617.00,100804
0.00,2136332.00,Lutomiersk,2136332.00,100806
194961.00,1049180.00,Pabianice,854219.00,100807
0.00,3173171.05,Działoszyn,3173171.05,100901
1720.00,4020980.60,Kiełczygłów,4019260.60,100902
0.00,3590419.00,Nowa Brzeźnica,3590419.00,100903
2475.00,3069574.00,Pajęczno,3067099.00,100904
292059.00,3703406.00,Rząśnia,3411347.00,100905
0.00,4189520.00,Siemkowice,4189520.00,100906
0.00,3578553.00,Strzelce Wielkie,3578553.00,100907
46669.04,3221504.83,Sulmierzyce,3174835.79,100908
0.00,2470534.00,Aleksandrów,2470534.00,101001
0.00,3038951.00,Czarnocin,3038951.00,101002
28209.58,1946409.57,Gorzkowice,1918199.99,101003
0.00,5826914.68,Grabica,5826914.68,101004
427291.00,462975.97,Moszczenica,35684.97,101006
0.00,5432066.42,Rozprza,5432066.42,101008
0.00,6911057.00,Sulejów,6911057.00,101009
162480.40,4473671.07,Wola Krzysztoporska,4311190.67,101010
336738.00,3256370.00,Wolbórz,2919632.00,101011
168480.00,3055399.00,Dalików,2886919.00,101101
5976.96,4751931.14,Pęczniew,4745954.18,101102
14179.00,5833937.00,Poddębice,5819758.00,101103
0.00,4760261.11,Uniejów,4760261.11,101104
86502.00,4489615.00,Wartkowice,4403113.00,101105
0.00,3881601.00,Zadzim,3881601.00,101106
123402.00,1696635.00,Radomsko,1573233.00,101201
2310.00,1516548.00,Dobryszyce,1514238.00,101202
5291.00,2812144.00,Gidle,2806853.00,101203
7458.00,619984.42,Gomunice,612526.42,101204
0.00,1472996.00,Kamieńsk,1472996.00,101205
0.00,2203069.00,Kobiele Wielkie,2203069.00,101206
54103.72,3301569.15,Kodrąb,3247465.43,101207
216950.00,2654803.00,Lgota Wielka,2437853.00,101208
71577.00,2741442.00,Ładzice,2669865.00,101209
72435.00,3031927.59,Masłowice,2959492.59,101210
20584.00,2774181.50,Przedbórz,2753597.50,101211
0.00,1644632.01,Radomsko,1644632.01,101212
0.00,5319105.00,Wielgomłyny,5319105.00,101213
0.00,4447509.00,Żytno,4447509.00,101214
2860.00,888829.78,Rawa Mazowiecka,885969.78,101301
3004.65,3553031.65,Biała Rawska,3550027.00,101302
0.00,4789985.96,Cielądz,4789985.95,101303
2299.00,4176652.00,Rawa Mazowiecka,4174353.00,101304
1600.00,2620983.00,Regnów,2619383.00,101305
0.00,3790578.00,Sadkowice,3790578.00,101306
1524.00,2321640.44,Sieradz,2320116.44,101401
0.00,6075421.67,Błaszki,6075421.67,101402
0.00,3749821.24,Brąszewice,3749821.24,101403
0.00,3162449.84,Brzeźnio,3162449.84,101404
0.00,6279839.17,Burzenin,6279839.17,101405
1760.00,4866611.32,Goszczanów,4864851.32,101406
5060.00,2112771.00,Klonowa,2107711.00,101407
1430.00,3372699.00,Sieradz,3371269.00,101408
0.00,5183290.23,Warta,5183290.23,101409
0.00,3155684.40,Wróblew,3155684.40,101410
0.01,7092908.25,Złoczew,7092908.24,101411
0.00,3376857.00,Bolimów,3376857.00,101501
0.00,7203316.00,Głuchów,7203316.00,101502
252197.00,2411893.00,Godzianów,2159696.00,101503
3002.45,1636417.95,Kowiesy,1633415.50,101504
228530.00,3919239.00,Lipce Reymontowskie,3690709.00,101505
122287.00,3348669.00,Maków,3226382.00,101506
6226.00,4528469.00,Nowy Kawęczyn,4522243.00,101507
242915.27,3553985.28,Skierniewice,3311070.01,101508
0.00,2833457.00,Słupia,2833457.00,101509
1384.00,986430.40,Tomaszów Mazowiecki,985046.40,101601
0.00,2750253.00,Będków,2750253.00,101602
0.00,4921153.84,Czerniewice,4921153.84,101604
0.00,1959480.90,Inowłódz,1959480.90,101605
0.00,2518034.00,Lubochnia,2518034.00,101606
268078.25,5159580.75,Rokiciny,4891502.50,101607
598346.00,6572951.56,Rzeczyca,5974605.56,101608
0.00,4751138.50,Tomaszów Mazowiecki,4751138.50,101609
0.00,2201466.00,Ujazd,2201466.00,101610
113390.20,3356751.75,Żelechlinek,3243361.55,101611
97493.00,2640198.00,Biała,2542705.00,101701
89089.15,2145539.00,Czarnożyły,2056449.85,101702
4500.00,2897446.31,Konopnica,2892946.31,101703
345568.00,2121251.00,Mokrsko,1775683.00,101704
0.00,2688466.00,Osjaków,2688466.00,101705
0.00,143814.00,Ostrówek,143814.00,101706
0.00,3419285.00,Pątnów,3419285.00,101707
0.00,1629485.00,Skomlin,1629485.00,101708
609051.00,3417482.00,Wieluń,2808431.00,101709
0.00,2993598.99,Wierzchlas,2993598.99,101710
0.00,1458336.22,Bolesławiec,1458336.22,101801
53548.00,1696023.00,Czastary,1642475.00,101802
9362.65,3409781.65,Galewice,3400419.00,101803
49918.00,3063577.00,Lututów,3013659.00,101804
0.00,1490813.00,Łubnice,1490813.00,101805
106180.00,1408517.00,Sokolniki,1302337.00,101806
26102.00,1675308.80,Wieruszów,1649206.80,101807
26420.44,1614130.71,Zduńska Wola,1587710.27,101901
9097.00,3125600.00,Szadek,3116503.00,101902
52404.00,1724822.00,Zapolice,1672418.00,101903
814.00,3261137.00,Zduńska Wola,3260323.00,101904
0.00,969754.00,Głowno,969754.00,102001
0.00,369902.06,Ozorków,369902.06,102002
1274.90,2716245.33,Zgierz,2714970.43,102003
0.00,1921276.50,Aleksandrów Łódzki,1921276.50,102004
0.00,5456737.00,Głowno,5456737.00,102005
37389.00,1908511.00,Ozorków,1871122.00,102006
0.00,2997497.00,Parzęczew,2997497.00,102007
516127.79,3325659.69,Stryków,2809531.90,102008
5.50,2299746.37,Zgierz,2299740.87,102009
86744.00,684848.00,Brzeziny,598104.00,102101
223997.00,2849260.80,Brzeziny,2625263.80,102102
250948.15,3357830.00,Dmosin,3106881.85,102103
0.00,2726295.00,Jeżów,2726295.00,102104
341607.00,2205404.70,Rogów,1863797.70,102105
49212.00,1203545.75,Łódź-Bałuty,1154333.75,106102
350.00,35289.70,Łódź-Górna,34939.70,106103
5830.00,227387.05,Łódź-Polesie,221557.05,106104
30065.00,1028302.60,Łódź-Śródmieście,998237.60,106105
284080.00,7515767.50,Łódź-Widzew,7231687.50,106106
205083.34,1108212.78,Piotrków Trybunalski,903129.44,106201
11638.00,425438.84,Skierniewice,413800.84,106301
0.00,296472.00,Bochnia,296472.00,120101
1320.00,2251944.30,Bochnia,2250624.30,120102
33363.00,1327260.00,Drwinia,1293897.00,120103
191985.50,742289.86,Lipnica Murowana,550304.36,120104
124113.00,942508.00,Łapanów,818395.00,120105
172870.00,633365.00,Nowy Wiśnicz,460495.00,120106
106900.00,932250.00,Rzezawa,825350.00,120107
290324.65,2296700.92,Trzciana,2006376.27,120108
0.00,1077527.59,Żegocina,1077527.59,120109
309399.50,1840702.50,Borzęcin,1531303.00,120201
1010594.50,1275144.50,Brzesko,264550.00,120202
277180.00,421807.00,Czchów,144627.00,120203
0.00,36.00,Dębno,36.00,120204
89550.00,811947.00,Gnojnik,722397.00,120205
0.00,846989.00,Iwkowa,846989.00,120206
0.00,3173263.00,Szczurowa,3173263.00,120207
29890.30,2502481.30,Alwernia,2472591.00,120301
8426.00,2424607.00,Babice,2416181.00,120302
589658.00,2604865.00,Chrzanów,2015207.00,120303
283338.00,2045363.98,Libiąż,1762025.98,120304
89276.00,6952245.89,Trzebinia,6862969.89,120305
0.00,592515.00,Bolesław,592515.00,120401
0.00,1660673.00,Dąbrowa Tarnowska,1660673.00,120402
208454.00,916796.00,Gręboszów,708342.00,120403
0.00,1473986.25,Radgoszcz,1473986.25,120406
503776.60,577250.63,Szczucin,73474.03,120407
202249.40,444938.84,Gorlice,242689.44,120501
2600.00,979345.00,Biecz,976745.00,120502
47751.00,1847680.00,Bobowa,1799929.00,120503
161100.00,161100.00,Gorlice,0.00,120504
0.00,306130.00,Lipinki,306130.00,120505
151708.15,1428264.32,Łużna,1276556.17,120506
0.00,614527.00,Moszczenica,614527.00,120507
104976.00,1780452.50,Ropa,1675476.50,120508
0.00,475255.00,Sękowa,475255.00,120509
0.00,1033756.00,Uście Gorlickie,1033756.00,120510
552920.00,2688023.00,Czernichów,2135103.00,120601
0.00,1289516.00,Igołomia-Wawrzeńczyce,1289516.00,120602
100273.00,1903336.00,Iwanowice,1803063.00,120603
148159.00,4554392.00,Jerzmanowice-Przeginia,4406233.00,120604
4.20,1365009.60,Kocmyrzów-Luborzyca,1365005.40,120605
2186906.58,9761411.12,Krzeszowice,7574504.54,120606
459517.00,2416479.00,Liszki,1956962.00,120607
96304.00,1238840.00,Michałowice,1142536.00,120608
68557.00,432910.00,Mogilany,364353.00,120609
523094.00,2661347.00,Skała,2138253.00,120610
243548.00,1321042.20,Skawina,1077494.20,120611
8685.00,2592871.00,Słomniki,2584186.00,120612
681479.00,3341149.00,Sułoszowa,2659670.00,120613
19920.10,242670.10,Świątniki Górne,222750.00,120614
18150.00,1819270.00,Wielka Wieś,1801120.00,120615
554696.26,2087960.26,Zabierzów,1533264.00,120616
400175.00,1069801.00,Zielonki,669626.00,120617
244959.00,711458.00,Limanowa,466499.00,120701
141030.00,844774.00,Mszana Dolna,703744.00,120702
753769.20,1459601.25,Dobra,705832.05,120703
0.00,2192222.00,Jodłownik,2192222.00,120704
99539.00,1435660.20,Kamienica,1336121.20,120705
469711.65,2735994.65,Laskowa,2266283.00,120706
566294.00,5804661.00,Limanowa,5238367.00,120707
0.00,2227467.00,Łukowica,2227467.00,120708
2211645.00,9226768.10,Mszana Dolna,7015123.10,120709
719395.00,1366846.50,Niedźwiedź,647451.50,120710
887347.00,2361877.00,Słopnice,1474530.00,120711
198788.00,442339.00,Tymbark,243551.00,120712
0.00,3846568.00,Charsznica,3846568.00,120801
31150.00,1261063.00,Gołcza,1229913.00,120802
4909.84,2902502.34,Kozłów,2897592.50,120803
0.00,11737.00,Książ Wielki,11737.00,120804
0.00,5474676.74,Miechów,5474676.74,120805
8899.00,1579858.20,Racławice,1570959.20,120806
8195.00,2625425.00,Słaboszów,2617230.00,120807
2310.00,554851.00,Dobczyce,552541.00,120901
94886.00,1471034.18,Lubień,1376148.18,120902
0.00,39875.00,Myślenice,39875.00,120903
73414.00,1248877.00,Pcim,1175463.00,120904
0.00,1319692.00,Raciechowice,1319692.00,120905
109505.00,318932.00,Siepraw,209427.00,120906
269740.00,641838.00,Sułkowice,372098.00,120907
174808.00,1643091.00,Tokarnia,1468283.00,120908
0.00,22704.00,Wiśniowa,22704.00,120909
166190.00,166191.00,Grybów,1.00,121001
145926.00,1209736.00,Chełmiec,1063810.00,121002
184505.00,922146.30,Gródek nad Dunajcem,737641.30,121003
638030.00,3926311.00,Grybów,3288281.00,121004
296083.00,1336484.45,Kamionka Wielka,1040401.45,121005
0.10,2370280.10,Korzenna,2370280.00,121006
148241.00,1045702.60,Krynica-Zdrój,897461.60,121007
101699.00,350923.08,Łabowa,249224.08,121008
68382.00,670962.00,Łącko,602580.00,121009
131.20,1695161.20,Łososina Dolna,1695030.00,121010
48144.97,510168.42,Muszyna,462023.45,121011
0.00,464310.00,Nawojowa,464310.00,121012
0.00,824288.00,Piwniczna-Zdrój,824288.00,121013
62610.60,1314267.60,Podegrodzie,1251657.00,121014
18790.40,200290.40,Rytro,181500.00,121015
57460.00,946660.00,Stary Sącz,889200.00,121016
192660.00,685200.05,Nowy Targ,492540.05,121101
0.00,188705.00,Szczawnica,188705.00,121102
1565720.00,4851690.00,Czarny Dunajec,3285970.00,121103
154556.00,835921.00,Czorsztyn,681365.00,121104
3289925.00,9812106.00,Jabłonka,6522181.00,121105
38500.00,703703.00,Krościenko nad Dunajcem,665203.00,121106
539548.00,3016975.00,Lipnica Wielka,2477427.00,121107
2.00,1533842.00,Łapsze Niżne,1533840.00,121108
670009.68,2910749.68,Nowy Targ,2240740.00,121109
216100.00,785963.07,Ochotnica Dolna,569863.07,121110
1021243.30,2442712.30,Raba Wyżna,1421469.00,121111
0.00,11.00,Rabka-Zdrój,11.00,121112
114399.00,1024982.00,Spytkowice,910583.00,121113
54285.00,2500971.00,Szaflary,2446686.00,121114
0.00,566575.08,Bukowno,566575.08,121201
116167.86,793494.86,Bolesław,677327.00,121203
599869.00,3819683.00,Klucze,3219814.00,121204
872061.00,7982475.29,Olkusz,7110414.29,121205
571257.00,4561315.00,Trzyciąż,3990058.00,121206
0.00,385288.00,Wolbrom,385288.00,121207
52216.50,2091998.00,Oświęcim,2039781.50,121301
858923.00,1404623.00,Brzeszcze,545700.00,121302
491685.00,998949.00,Chełmek,507264.00,121303
747627.30,1562704.30,Kęty,815077.00,121304
233640.00,697004.00,Osiek,463364.00,121305
514550.00,1893149.00,Oświęcim,1378599.00,121306
21781.00,632721.00,Polanka Wielka,610940.00,121307
262339.00,1919137.00,Przeciszów,1656798.00,121308
323454.00,1188917.20,Zator,865463.20,121309
0.00,5500.00,Koniusza,5500.00,121401
42942.00,946267.00,Koszyce,903325.00,121402
121970.00,841425.00,Nowe Brzesko,719455.00,121403
73196.34,73196.34,Pałecznica,0.00,121404
644465.00,2024107.50,Proszowice,1379642.50,121405
6490.00,2263683.00,Radziemice,2257193.00,121406
36570.00,379243.00,Jordanów,342673.00,121501
84736.00,236483.00,Sucha Beskidzka,151747.00,121502
254981.00,1175675.00,Budzów,920694.00,121503
37080.00,2541940.00,Bystra-Sidzina,2504860.00,121504
446270.00,2721851.50,Jordanów,2275581.50,121505
6824.00,23674.00,Maków Podhalański,16850.00,121506
0.00,1909776.00,Stryszawa,1909776.00,121507
250688.50,1702921.18,Zawoja,1452232.68,121508
8.80,384554.94,Zembrzyce,384546.14,121509
0.00,1281425.00,Ciężkowice,1281425.00,121601
80950.33,1605891.33,Gromnik,1524941.00,121602
0.10,1419640.10,Lisia Góra,1419640.00,121603
251261.25,1108991.25,Pleśna,857730.00,121604
0.00,916410.00,Radłów,916410.00,121605
341730.00,1622324.30,Ryglice,1280594.30,121606
193682.50,2070439.50,Rzepiennik Strzyżewski,1876757.00,121607
329137.50,1734789.50,Skrzyszów,1405652.00,121608
497482.00,672469.96,Tarnów,174987.96,121609
0.00,90.00,Tuchów,90.00,121610
0.00,529089.00,Wierzchosławice,529089.00,121611
36424.00,1259209.00,Wietrzychowice,1222785.00,121612
150221.00,232806.00,Wojnicz,82585.00,121613
348398.25,558024.25,Zakliczyn,209626.00,121614
734835.40,2601370.80,Żabno,1866535.40,121615
698633.00,1286528.00,Szerzyny,587895.00,121616
237848.00,1041819.90,Zakopane,803971.90,121701
952055.00,1750711.00,Bukowina Tatrzańska,798656.00,121703
297352.00,1310815.00,Kościelisko,1013463.00,121704
73191.00,1533639.00,Poronin,1460448.00,121705
529214.00,1126429.00,Andrychów,597215.00,121801
6288.48,1359700.32,Brzeźnica,1353411.84,121802
3.00,909527.00,Kalwaria Zebrzydowska,909524.00,121803
110690.00,479564.10,Lanckorona,368874.10,121804
91274.00,308744.00,Mucharz,217470.00,121805
0.00,340394.03,Spytkowice,340394.03,121806
0.00,845042.00,Stryszów,845042.00,121807
266246.00,1030493.00,Tomice,764247.00,121808
157985.93,2345022.08,Wadowice,2187036.15,121809
0.00,150139.10,Wieprz,150139.10,121810
73740.00,339133.00,Biskupice,265393.00,121901
162412.00,1678748.05,Gdów,1516336.05,121902
525192.48,1056834.48,Kłaj,531642.00,121903
696440.00,2938786.00,Niepołomice,2242346.00,121904
323354.00,1636824.00,Wieliczka,1313470.00,121905
65796.00,879921.84,Kraków,814125.84,126101
34960.00,858272.00,Kraków-Krowodrza,823312.00,126102
59245.68,1329951.68,Kraków-Nowa Huta,1270706.00,126103
100273.10,1522175.10,Kraków-Podgórze,1421902.00,126104
3160.00,57573.00,Kraków-Śródmieście,54413.00,126105
0.00,218138.00,Nowy Sącz,218138.00,126201
1758001.00,3615541.00,Tarnów,1857540.00,126301
3698.20,1087415.56,Białobrzegi,1083717.36,140101
10076.00,1239635.69,Promna,1229559.69,140102
299394.00,4744406.00,Radzanów,4445012.00,140103
308.00,4029311.00,Stara Błotnica,4029003.00,140104
23523.50,2845554.71,Stromiec,2822031.21,140105
0.00,4570846.15,Wyśmierzyce,4570846.15,140106
155700.00,1534816.47,Ciechanów,1379116.47,140201
3200.00,10174.00,Ciechanów,6974.00,140202
145021.28,2073895.99,Glinojeck,1928874.71,140203
1100.00,3927584.10,Gołymin-Ośrodek,3926484.10,140204
519008.00,3247834.00,Grudusk,2728826.00,140205
4378.00,3720739.00,Ojrzeń,3716361.00,140206
291346.00,3459060.00,Opinogóra Górna,3167714.00,140207
328834.00,3578869.00,Regimin,3250035.00,140208
127805.00,3308692.00,Sońsk,3180887.00,140209
313089.00,984106.00,Garwolin,671017.00,140301
99517.93,934804.38,Łaskarzew,835286.45,140302
369952.00,3727330.75,Borowie,3357378.75,140303
585714.31,1870653.81,Garwolin,1284939.50,140304
281776.00,2532065.00,Górzno,2250289.00,140305
237498.00,3577455.00,Łaskarzew,3339957.00,140306
837846.66,4381328.98,Maciejowice,3543482.32,140307
155757.30,3600676.68,Miastków Kościelny,3444919.38,140308
208227.00,1979624.50,Parysów,1771397.50,140309
584547.00,2183395.46,Pilawa,1598848.46,140310
0.00,5176708.00,Sobolew,5176708.00,140311
34792.48,8470536.28,Trojanów,8435743.80,140312
151800.00,1319835.00,Wilga,1168035.00,140313
309250.27,2729623.17,Żelechów,2420372.90,140314
87288.00,577608.00,Gostynin,490320.00,140401
0.00,4326352.20,Gostynin,4326352.20,140402
3399.00,2971639.00,Pacyna,2968240.00,140403
5060.00,3409866.50,Sanniki,3404806.50,140404
0.00,3325784.00,Szczawin Kościelny,3325784.00,140405
135307.15,548510.31,Milanówek,413203.16,140501
60243.19,204266.19,Podkowa Leśna,144023.00,140502
171248.00,3991946.00,Baranów,3820698.00,140503
395556.00,1812323.00,Grodzisk Mazowiecki,1416767.00,140504
1591.70,2128166.70,Jaktorów,2126575.00,140505
13856.10,2788221.10,Żabia Wola,2774365.00,140506
244554.50,617759.50,Belsk Duży,373205.00,140601
0.00,3972276.00,Błędów,3972276.00,140602
424830.02,6594493.22,Chynów,6169663.20,140603
902.00,1261165.00,Goszczyn,1260263.00,140604
369696.00,2772489.94,Grójec,2402793.94,140605
0.00,3637150.45,Jasieniec,3637150.45,140606
105005.00,6181174.00,Mogielnica,6076169.00,140607
0.00,201880.00,Nowe Miasto nad Pilicą,201880.00,140608
136244.00,2378323.00,Pniewy,2242079.00,140609
11462.00,11744029.42,Warka,11732567.42,140611
726.00,2734561.62,Garbatka-Letnisko,2733835.62,140701
11335.50,2988612.85,Głowaczów,2977277.35,140702
9900.00,2552667.00,Gniewoszów,2542767.00,140703
60324.00,4694846.60,Grabów nad Pilicą,4634522.60,140704
443131.00,639299.00,Kozienice,196168.00,140705
0.00,63112.00,Magnuszew,63112.00,140706
0.00,1233176.45,Sieciechów,1233176.45,140707
275402.23,1710131.43,Legionowo,1434729.20,140801
28071.30,41653.55,Jabłonna,13582.25,140802
277255.00,400587.18,Nieporęt,123332.18,140803
294285.00,2388859.00,Serock,2094574.00,140804
445572.60,1217109.60,Wieliszew,771537.00,140805
0.00,3668489.00,Chotcza,3668489.00,140901
0.00,8547406.95,Ciepielów,8547406.95,140902
463535.00,3590499.85,Lipsko,3126964.85,140903
18238.00,7258529.00,Rzeczniów,7240291.00,140904
279306.00,3791578.00,Sienno,3512272.00,140905
57941.70,8323250.70,Solec nad Wisłą,8265309.00,140906
0.00,3018928.00,Huszlew,3018928.00,141001
148787.76,3761632.90,Łosice,3612845.14,141002
0.00,4719297.00,Olszanka,4719297.00,141003
127077.50,4240454.90,Platerów,4113377.40,141004
148307.06,2175853.46,Sarnaki,2027546.40,141005
28325.00,3658479.00,Stara Kornica,3630154.00,141006
100558.00,637084.00,Maków Mazowiecki,536526.00,141101
30785.96,2577956.30,Czerwonka,2547170.34,141102
245374.10,6181667.28,Karniewo,5936293.18,141103
0.00,173362.90,Krasnosielc,173362.90,141104
19690.00,775698.00,Młynarze,756008.00,141105
4730.00,3695550.00,Płoniawy-Bramura,3690820.00,141106
0.00,42614.00,Różan,42614.00,141107
0.00,2036749.00,Rzewnie,2036749.00,141108
135008.00,3864554.00,Sypniewo,3729546.00,141109
457944.70,2901329.70,Szelków,2443385.00,141110
63305.00,138172.00,Mińsk Mazowiecki,74867.00,141201
17465.00,3739865.00,Cegłów,3722400.00,141204
301511.10,3778055.82,Dębe Wielkie,3476544.72,141205
11537.02,6833537.25,Dobre,6822000.23,141206
82467.00,2626822.00,Halinów,2544355.00,141207
0.02,5578539.46,Jakubów,5578539.44,141208
355283.00,2582457.50,Kałuszyn,2227174.50,141209
111037.00,3147310.18,Latowicz,3036273.18,141210
780277.83,3516635.93,Mińsk Mazowiecki,2736358.10,141211
483236.77,3823417.64,Mrozy,3340180.87,141212
235273.00,4820867.30,Siennica,4585594.30,141213
0.00,2252922.00,Stanisławów,2252922.00,141214
101531.95,1340647.43,Sulejówek,1239115.48,141215
729527.00,2110629.35,Mława,1381102.35,141301
145776.00,2714627.00,Dzierzgowo,2568851.00,141302
